"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",1.78947368421053,1.19736842105263,0.822368421052632,0.677631578947368,0.868421052631579,1.01973684210526,0.802631578947368,0.848684210526316,0.605263157894737,0.355263157894737,0.480263157894737,0.243421052631579,0.315789473684211,0.223684210526316,0.131578947368421,0.217105263157895
"[5,10)",2.09677419354839,9.43548387096774,4.14516129032258,0.596774193548387,0.612903225806452,0.903225806451613,1.14516129032258,1.46774193548387,1.01612903225806,0.725806451612903,0.532258064516129,0.209677419354839,0.306451612903226,0.17741935483871,0.129032258064516,0.161290322580645
"[10,15)",1.75862068965517,3.70689655172414,9.86206896551724,2.81034482758621,0.620689655172414,0.96551724137931,1.22413793103448,1.87931034482759,1.20689655172414,0.758620689655172,0.672413793103448,0.327586206896552,0.293103448275862,0.241379310344828,0.0517241379310345,0.275862068965517
"[15,20)",1.52631578947368,0.552631578947368,3.10526315789474,8.94736842105263,1.36842105263158,1.02631578947368,0.605263157894737,1.92105263157895,1.15789473684211,1.05263157894737,0.894736842105263,0.210526315789474,0.263157894736842,0.263157894736842,0.105263157894737,0.184210526315789
"[20,25)",1.75,0.975,0.725,1.675,1.475,1.425,0.925,0.85,0.825,0.725,0.9,0.375,0.525,0.2,0.15,0.1
"[25,30)",1.69230769230769,0.884615384615385,0.730769230769231,0.653846153846154,0.826923076923077,1.25,1.40384615384615,1.05769230769231,0.865384615384615,0.673076923076923,0.884615384615385,0.269230769230769,0.403846153846154,0.230769230769231,0.115384615384615,0.230769230769231
"[30,35)",1.65789473684211,0.842105263157895,0.763157894736842,0.684210526315789,1,1.44736842105263,1.07894736842105,1.07894736842105,0.789473684210526,0.342105263157895,0.526315789473684,0.289473684210526,0.447368421052632,0.315789473684211,0.184210526315789,0.289473684210526
"[35,40)",1.65853658536585,0.780487804878049,1.24390243902439,0.902439024390244,0.829268292682927,0.951219512195122,1.02439024390244,1.48780487804878,1.21951219512195,0.682926829268293,0.48780487804878,0.317073170731707,0.536585365853659,0.317073170731707,0.219512195121951,0.317073170731707
"[40,45)",1.6,0.666666666666667,0.633333333333333,0.966666666666667,0.833333333333333,0.433333333333333,0.466666666666667,0.733333333333333,0.7,0.633333333333333,0.566666666666667,0.233333333333333,0.4,0.166666666666667,0.133333333333333,0.4
"[45,50)",1.47058823529412,0.882352941176471,0.588235294117647,0.588235294117647,1.17647058823529,1.05882352941176,1.11764705882353,1.76470588235294,1.05882352941176,1.23529411764706,0.647058823529412,0.941176470588235,0.411764705882353,0.411764705882353,0.176470588235294,0.352941176470588
"[50,55)",1.52173913043478,0.478260869565217,0.652173913043478,0.608695652173913,1.39130434782609,1.21739130434783,1.1304347826087,1,1.04347826086957,0.869565217391304,0.826086956521739,0.695652173913043,0.347826086956522,0.826086956521739,0.347826086956522,0.478260869565217
"[55,60)",1.6,1,1.2,1,1,0.4,0.2,1,1.2,0.6,0.2,0.2,1,0,1.2,0.6
"[60,65)",1.41666666666667,0.5,0.416666666666667,0.416666666666667,1,1.5,1.16666666666667,0.75,0.583333333333333,0.5,1.08333333333333,0.666666666666667,0.5,0.583333333333333,0.416666666666667,0.5
"[65,70)",1.70337527112705,0.469713370039765,0.745530227190567,0.965359000027808,0.462199413948444,0.883438655765968,0.454685457857123,1.48354649828981,0.697056098968327,0.753044183281889,0.641068014654765,0.275816857150802,0.365251157503963,0.544119758210283,0,0.0969482564444815
"[70,75)",1.70337527112705,0.469713370039765,0.745530227190567,0.965359000027808,0.462199413948444,0.883438655765968,0.454685457857123,1.48354649828981,0.697056098968327,0.753044183281889,0.641068014654765,0.275816857150802,0.365251157503963,0.544119758210283,0,0.0969482564444815
"75+",1.70337527112705,0.469713370039765,0.745530227190567,0.965359000027808,0.462199413948444,0.883438655765968,0.454685457857123,1.48354649828981,0.697056098968327,0.753044183281889,0.641068014654765,0.275816857150802,0.365251157503963,0.544119758210283,0,0.0969482564444815
