Timestamp,cases,deaths
0,1490084,26604.0
1,1491402,26626.0
2,1492810,26628.0
3,1493874,26637.0
4,1494823,26644.0
5,1495718,26661.0
6,1497297,26683.0
7,1499097,26695.0
8,1500615,26719.0
9,1502231,26740.0
10,1503380,26750.0
11,1504368,26752.0
12,1505547,26762.0
13,1507009,26796.0
14,1508440,26814.0
15,1509777,26838.0
16,1511138,26856.0
17,1512028,26862.0
18,1512851,26872.0
19,1513720,26903.0
20,1514986,26923.0
21,1516028,26949.0
22,1517605,26973.0
23,1519436,26999.0
24,1520485,27010.0
25,1521208,27017.0
26,1521901,27046.0
27,1523244,27074.0
28,1523244,27074.0
29,1524998,27102.0
30,1525616,27121.0
31,1526190,27128.0
32,1526976,27138.0
33,1527836,27166.0
34,1529290,27184.0
35,1531230,27208.0
36,1533134,27225.0
37,1535424,27244.0
38,1537055,27246.0
39,1538154,27248.0
40,1539155,27262.0
41,1540904,27275.0
42,1542590,27288.0
43,1544488,27304.0
44,1546287,27325.0
45,1547746,27330.0
46,1548861,27341.0
47,1550000,27352.0
48,1551821,27369.0
49,1554070,27388.0
50,1557389,27413.0
51,1561081,27432.0
52,1564583,27441.0
53,1567837,27448.0
54,1570934,27473.0
55,1577406,27488.0
56,1586017,27512.0
57,1595943,27533.0
58,1595943,27533.0
59,1616737,27546.0
60,1624146,27555.0
61,1633597,27576.0
